item_id,label,annotator_type,source
v3_s_2a898482ed5f6c5e,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_c7b590eda895113f,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_43f55f97922b1aa2,structure,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_93fc97b6da51356a,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_eed1b96696554a48,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_dd9ad3c4f5790586,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_55fd95ed3f909550,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_b5f34c3d9a4d6377,structure,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_304e693e3cf44028,structure,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_ff6b5abb326b55ff,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_868a8df911403b38,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_d5701f261009e679,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_7d50cc6619f74948,structure,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_76605b2904ad2120,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_303b7b965b179f21,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_354f6fed58d8080f,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_9b2e832c8774cb7b,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_f216ec175174128c,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_752631ebbf2a04d6,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_8d338fdb13cdafea,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_32533ce8d31efadd,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_029b9525025411f9,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_2f6b4e28dd20c1c1,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_aaf76adf5e9c1e3c,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_cbf493c58c728829,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_4610a97029e0fe4a,empathy_opener,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_cbaf990daf3aa5a5,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_061cc46b65f732b7,structure,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_b24d5ecdc335acad,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_430ed38a574e3f0a,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_d71c9583a66635c1,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_f0c0aa8a3af4be7c,structure,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_9101b521a8b49dba,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_5cb2a32d7ca27ed6,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_701ca2c841b4ba6f,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_a057e1d6221d3aff,structure,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_78438c0a7cd3d775,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_da57e8eabd3127e9,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_9f15d797e7955a2d,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_ccd14e240160e257,structure,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_b13e365216e57674,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_e6f78cc5c8be9a67,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_824b80896fc079bd,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_f3acd1a44afa0825,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_b988f3deb7bcf41b,structure,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_4978590b4aec25d0,structure,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_7e8d2785347c253d,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_2c80f38a69a87094,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_8d73471e3b2a50f6,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_2bd6f61f203e5b09,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_cc350fb999f41c44,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_fcbc6cd09082011b,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_f083d653cee4c844,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_5a1a290b7ca195ea,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_67d308b69a42f1f1,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_5e6177abf7457f00,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_c86c9c4b22a7e6e7,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_ad0c45592b1ef826,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_352e26c7e4c657fe,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_eaf5f65074c4ebb1,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_44018095769bd4b0,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_cce5bf6b800c3e47,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_b65abf75bf2e6c3a,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_0e9ee3c5c8a4aa51,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_f32d77788b433c85,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_1bff25e49564ee85,structure,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_48ac5e1c7e71ef7b,structure,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_c8b2eb4fc4e12768,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_1d45925edd295251,structure,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_0313ea81b7831a5f,structure,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_dc02945429751e66,structure,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_49999792817ae72b,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_b166fee8d47ecdb7,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_b2577ac80906d0a0,structure,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_faf1bf784a85c3ef,structure,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_f4c9fe28ab759bf7,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_5447c5f986d654a2,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_106161d9b93be2ea,structure,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_d63edeec2ca16979,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_ff5c5c7050052220,structure,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_dc91385b64f0b4df,validation,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_e3189a4dc5429ec8,structure,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_61560d43671538b9,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_137f4fce31278114,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_61b32bd99baa366a,structure,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_92a5e0c1f3b3ed93,"empathy_opener,structure",ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_592869a9e3ca9626,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_d6136a80b620a490,empathy_opener,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_8f6f6a2fa101ab60,structure,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_29e534922856745e,structure,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_1b97df527a653094,none,ai,Two Codex AI passes with Claude Opus disagreement adjudication
v3_s_4e43d8f8dc6c4c72,structure,ai,Two Codex AI passes with Claude Opus disagreement adjudication
